Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2013-01-01,1,5,-4,48,10
2013-01-02,1,4,-4,76,10
2013-01-03,-1,4,-4,73,9
2013-01-04,1,5,-4,84,10
2013-01-05,3,5,-1,9,1
2013-01-06,2,4,-2,15,1
2013-01-07,1,4,-4,82,9
2013-01-08,-1,4,-4,89,10
2013-01-09,1,4,-4,80,8
2013-01-10,2,5,-2,101,10
2013-01-11,1,4,-4,81,8
2013-01-12,3,4,1,9,0
2013-01-13,1,4,-2,14,1
2013-01-14,-2,2,-5,159,10
2013-01-15,-2,3,-5,127,7
2013-01-16,-2,3,-5,105,6
2013-01-17,1,5,-3,102,6
2013-01-18,-1,3,-5,76,4
2013-01-19,2,5,-3,18,1
2013-01-20,1,4,-4,10,0
2013-01-21,1,4,-4,38,2
2013-01-22,1,4,-4,107,6
2013-01-23,-1,4,-5,149,9
2013-01-24,-2,2,-5,244,10
2013-01-25,-1,4,-4,137,5
2013-01-26,1,4,-3,19,0
2013-01-27,1,4,-3,14,0
2013-01-28,1,4,-4,108,4
2013-01-29,1,4,-4,91,3
2013-01-30,1,5,-3,114,4
2013-01-31,-1,3,-5,92,3
2013-02-01,1,5,-3,61,2
2013-02-02,-1,4,-4,21,0
2013-02-03,-1,4,-5,15,0
2013-02-04,-1,3,-5,56,2
2013-02-05,-1,4,-4,86,3
2013-02-06,-1,4,-4,66,2
2013-02-07,-2,3,-5,133,5
2013-02-08,1,4,-4,88,6
2013-02-09,-2,2,-5,24,1
2013-02-10,-1,4,-5,11,0
2013-02-11,-1,3,-5,68,5
2013-02-12,-1,3,-5,10,0
2013-02-13,0,0,0,0,0
2013-02-14,0,0,0,0,0
2013-02-15,0,0,0,0,0
2013-02-16,0,0,0,0,0
2013-02-17,0,0,0,0,0
2013-02-18,-1,4,-4,66,4
2013-02-19,-1,4,-4,100,7
2013-02-20,-2,2,-5,98,7
2013-02-21,-1,3,-5,114,8
2013-02-22,-1,4,-4,76,6
2013-02-23,-2,3,-5,21,1
2013-02-24,1,5,-4,22,1
2013-02-25,1,5,-4,86,7
2013-02-26,-1,4,-4,98,8
2013-02-27,-1,3,-5,101,8
2013-02-28,-2,3,-5,90,7
2013-03-01,-2,3,-5,79,6
2013-03-02,2,5,-3,18,1
2013-03-03,1,5,-3,9,0
2013-03-04,-1,3,-4,101,8
2013-03-05,2,5,-3,88,7
2013-03-06,1,4,-3,108,9
2013-03-07,1,4,-4,93,8
2013-03-08,-1,4,-4,68,6
2013-03-09,2,5,-3,16,1
2013-03-10,1,4,-4,11,1
2013-03-11,1,4,-4,78,7
2013-03-12,1,4,-4,70,6
2013-03-13,-1,4,-4,69,6
2013-03-14,-1,4,-4,101,9
2013-03-15,1,5,-3,73,6
2013-03-16,-1,4,-4,11,1
2013-03-17,1,4,-4,16,1
2013-03-18,1,4,-4,67,6
2013-03-19,-1,4,-4,60,5
2013-03-20,1,4,-4,66,6
2013-03-21,-1,4,-4,49,4
2013-03-22,-1,4,-5,51,5
2013-03-23,-1,4,-5,5,0
2013-03-24,1,4,-4,14,1
2013-03-25,-1,4,-4,72,7
2013-03-26,-1,4,-4,78,7
2013-03-27,1,5,-3,62,6
2013-03-28,1,5,-3,66,6
2013-03-29,2,5,-3,25,3
2013-03-30,3,5,-1,10,1
2013-03-31,1,5,-4,8,1
2013-04-01,-2,3,-5,70,8
2013-04-02,-1,4,-4,81,10
2013-04-03,1,4,-4,63,7
